url,site,error
https://www.amazon.com/Data-Science-Python-Environments-Workflows/dp/1098161335/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-8,amazon,Unknown error
https://www.amazon.com/Murachs-Python-Data-Science-2nd/dp/1943873178/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-9,amazon,Unknown error
https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-10,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX210ZjoyMDAwODQyNjgxODAxNTE6OjA6Og&url=%2FAce-Data-Science-Interview-Questions%2Fdp%2F0578973839%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX210ZjoyMDAwNjc1MzQwNzczOTg6OjA6Og&url=%2FModels-Metaphor-Meaning-Data-Convey%2Fdp%2F1477590765%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-13,amazon,Unknown error
https://www.amazon.com/Introduction-Data-Science-Applications-Undergraduate/dp/3031489551/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-14,amazon,Unknown error
https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-15,amazon,Unknown error
https://www.amazon.com/Python-Data-Science-Dummies-Computer/dp/139421314X/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-16,amazon,Unknown error
https://www.amazon.com/Practical-Data-Science-Python-hands/dp/1801071977/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-17,amazon,Unknown error
https://www.amazon.com/Science-Business-People-Bradford-Tuckfield/dp/1718502885/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-18,amazon,Unknown error
https://www.amazon.com/Foundational-Python-Science-Addison-Wesley-Analytics/dp/0136624359/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-19,amazon,Unknown error
https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-20,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX2J0ZjoyMDAwODY5MDQ5NDUxOTg6OjA6Og&url=%2FStorytelling-Data-Visualization-Business-Professionals%2Fdp%2F1119002257%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX2J0ZjozMDA3OTAwMzY2NzQxMDI6OjA6Og&url=%2FPython-Standard-Library-Quickstudy-Laminated%2Fdp%2F1423244230%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon,Unknown error
